P%         IPA_Highest          STD                  BS                  
0.0        0.009177000          0.002153000          1024                
0.1        0.009466000          0.001678000          1024                
0.2        0.010351000          0.002922000          1024                
0.3        0.011066000          0.003043000          1024                
0.4        0.011817000          0.003553000          1024                
0.5        0.011394000          0.003104000          1024                
0.6        0.011810000          0.002583000          1024                
0.7        0.011117000          0.002803000          1024                
0.8        0.010246000          0.001996000          1024                
0.9        0.008197000          0.001403000          1024                
