P%         IPA_Highest          STD                  BS                  
0.0        0.036047000          0.009968000          1024                
0.1        0.035834000          0.012468000          1024                
0.2        0.039669000          0.012397000          1024                
0.3        0.041681000          0.013146000          1024                
0.4        0.043105000          0.013853000          1024                
0.5        0.045613000          0.014574000          1024                
0.6        0.048763000          0.015661000          1024                
0.7        0.052203000          0.016840000          1024                
0.8        0.053388000          0.019064000          64                  
0.9        0.047610000          0.008989000          64                  
